Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
34972,INN34973,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,14,Complementary,0,0,0,0.0,0,Not_Canceled
9836,INN09837,2,0,2,2,Not Selected,0,Room_Type 1,102,2018,10,30,Online,0,0,0,79.65,0,Canceled
35213,INN35214,2,0,0,3,Meal Plan 1,0,Room_Type 1,124,2018,5,17,Online,0,0,0,105.3,2,Not_Canceled
19242,INN19243,1,0,1,2,Meal Plan 1,0,Room_Type 1,31,2018,9,16,Offline,0,0,0,70.0,0,Not_Canceled
27195,INN27196,3,1,1,2,Meal Plan 1,0,Room_Type 1,91,2018,9,30,Offline,0,0,0,110.0,0,Not_Canceled
25341,INN25342,2,1,1,1,Meal Plan 1,0,Room_Type 1,7,2018,4,16,Online,0,0,0,143.0,1,Not_Canceled
22576,INN22577,2,0,2,3,Meal Plan 1,0,Room_Type 1,69,2018,9,4,Online,0,0,0,135.9,1,Canceled
19736,INN19737,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116.0,0,Not_Canceled
24267,INN24268,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,2018,12,1,Offline,0,0,0,75.0,0,Not_Canceled
10711,INN10712,2,0,2,2,Meal Plan 1,0,Room_Type 1,95,2018,4,17,Online,0,0,0,86.7,3,Not_Canceled
12063,INN12064,2,0,2,5,Meal Plan 1,0,Room_Type 1,118,2018,7,1,Online,0,0,0,107.95,1,Not_Canceled
19273,INN19274,2,0,1,2,Meal Plan 1,0,Room_Type 4,160,2018,6,17,Online,0,0,0,129.0,1,Canceled
12240,INN12241,2,0,0,3,Meal Plan 1,0,Room_Type 4,83,2018,10,25,Online,0,0,0,104.4,0,Not_Canceled
26477,INN26478,2,0,0,3,Not Selected,0,Room_Type 1,146,2018,7,27,Online,0,0,0,94.5,1,Not_Canceled
34460,INN34461,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
4058,INN04059,2,0,1,2,Meal Plan 1,0,Room_Type 1,163,2018,9,12,Online,0,0,0,126.9,2,Canceled
27498,INN27499,2,0,2,1,Meal Plan 2,0,Room_Type 1,145,2017,8,29,Offline,0,0,0,94.5,0,Not_Canceled
28881,INN28882,2,0,1,3,Not Selected,0,Room_Type 1,34,2018,3,14,Online,0,0,0,71.1,1,Not_Canceled
17859,INN17860,2,0,0,3,Meal Plan 1,0,Room_Type 1,109,2018,9,1,Online,0,0,0,129.6,0,Canceled
4667,INN04668,2,2,0,1,Meal Plan 1,1,Room_Type 6,238,2018,6,18,Online,0,0,0,178.2,1,Canceled
19189,INN19190,2,0,2,4,Meal Plan 1,0,Room_Type 1,224,2018,9,4,Online,0,0,0,114.9,1,Canceled
34642,INN34643,2,0,1,5,Not Selected,0,Room_Type 1,85,2018,3,28,Online,0,0,0,72.25,2,Not_Canceled
19616,INN19617,2,0,2,0,Not Selected,0,Room_Type 1,54,2018,7,10,Online,0,0,0,103.5,0,Canceled
14398,INN14399,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled
26803,INN26804,1,0,0,0,Meal Plan 1,0,Room_Type 4,0,2018,4,27,Complementary,0,0,0,0.0,2,Not_Canceled
22358,INN22359,2,0,2,8,Meal Plan 1,0,Room_Type 4,14,2018,3,30,Online,0,0,0,132.0,0,Canceled
9298,INN09299,1,0,2,9,Meal Plan 1,0,Room_Type 1,55,2018,12,13,Online,0,0,0,74.8,1,Not_Canceled
24046,INN24047,2,0,2,1,Meal Plan 1,0,Room_Type 1,61,2018,8,28,Offline,0,0,0,78.25,0,Not_Canceled
10026,INN10027,2,0,1,4,Meal Plan 1,0,Room_Type 4,34,2018,4,4,Online,0,0,0,131.4,0,Canceled
21465,INN21466,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2017,10,17,Online,0,0,0,104.85,1,Not_Canceled
30647,INN30648,2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2018,6,26,Offline,0,0,0,77.29,0,Not_Canceled
791,INN00792,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2018,3,20,Online,0,0,0,75.0,0,Canceled
33410,INN33411,2,0,2,1,Meal Plan 1,0,Room_Type 1,36,2018,7,9,Online,0,0,0,135.9,2,Not_Canceled
8468,INN08469,2,0,0,4,Meal Plan 1,0,Room_Type 1,177,2017,8,19,Online,0,0,0,76.5,2,Not_Canceled
24269,INN24270,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
7387,INN07388,2,0,1,1,Not Selected,0,Room_Type 1,75,2018,5,9,Online,0,0,0,116.1,0,Canceled
13987,INN13988,2,0,0,4,Meal Plan 1,0,Room_Type 1,92,2017,10,7,Offline,0,0,0,70.0,0,Not_Canceled
30967,INN30968,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,11,23,Offline,0,0,0,75.0,0,Not_Canceled
18948,INN18949,2,0,1,3,Meal Plan 1,0,Room_Type 2,16,2018,1,18,Online,0,0,0,86.25,0,Not_Canceled
34035,INN34036,2,0,0,1,Not Selected,0,Room_Type 1,119,2018,11,10,Online,0,0,0,170.1,1,Not_Canceled
22136,INN22137,2,0,1,2,Not Selected,0,Room_Type 1,9,2018,2,8,Offline,0,0,0,58.0,0,Not_Canceled
8119,INN08120,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90.0,0,Not_Canceled
2097,INN02098,2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2018,10,23,Offline,0,0,0,80.75,1,Not_Canceled
20772,INN20773,2,0,1,2,Meal Plan 1,0,Room_Type 1,90,2018,4,15,Online,0,0,0,96.3,1,Not_Canceled
21152,INN21153,2,0,2,5,Not Selected,0,Room_Type 1,212,2018,8,16,Online,0,0,0,63.11,1,Not_Canceled
22227,INN22228,2,0,0,3,Meal Plan 1,0,Room_Type 1,76,2018,2,18,Online,0,0,0,80.3,0,Not_Canceled
13021,INN13022,2,0,0,2,Meal Plan 1,0,Room_Type 4,2,2017,10,9,Online,0,0,0,164.5,2,Not_Canceled
16135,INN16136,2,0,1,4,Not Selected,0,Room_Type 1,109,2018,7,4,Online,0,0,0,97.75,0,Not_Canceled
29524,INN29525,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,20,Online,0,0,0,99.0,1,Not_Canceled
2185,INN02186,2,0,0,2,Meal Plan 2,0,Room_Type 4,80,2017,10,9,Offline,0,0,0,136.0,0,Not_Canceled
30034,INN30035,2,0,0,3,Meal Plan 1,0,Room_Type 1,141,2018,8,30,Online,0,0,0,106.5,1,Not_Canceled
5216,INN05217,2,0,1,4,Meal Plan 1,0,Room_Type 1,49,2018,3,9,Online,0,0,0,73.95,1,Not_Canceled
12116,INN12117,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,10,13,Online,0,0,0,95.0,0,Not_Canceled
9238,INN09239,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140.0,0,Not_Canceled
21063,INN21064,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,5,31,Online,0,0,0,105.75,1,Not_Canceled
33384,INN33385,2,0,1,3,Not Selected,0,Room_Type 1,22,2018,9,26,Online,0,0,0,119.0,0,Canceled
7388,INN07389,2,0,0,3,Not Selected,0,Room_Type 1,113,2018,6,9,Online,0,0,0,116.1,1,Not_Canceled
20410,INN20411,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,8,12,Online,0,0,0,117.9,0,Not_Canceled
25137,INN25138,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,8,4,Online,0,0,0,110.19,0,Not_Canceled
3761,INN03762,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,96.0,1,Not_Canceled
13020,INN13021,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,9,4,Online,0,0,0,98.55,2,Not_Canceled
23431,INN23432,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2017,9,15,Online,0,0,0,108.72,0,Not_Canceled
30464,INN30465,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,11,Corporate,0,0,0,88.0,0,Not_Canceled
17225,INN17226,2,0,1,3,Not Selected,0,Room_Type 1,94,2018,10,6,Online,0,0,0,108.0,0,Canceled
28248,INN28249,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
4283,INN04284,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110.0,0,Canceled
18684,INN18685,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
21938,INN21939,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,60.0,0,Canceled
1338,INN01339,3,0,2,1,Meal Plan 1,0,Room_Type 4,34,2018,10,8,Online,0,0,0,170.4,1,Canceled
31188,INN31189,2,0,2,3,Meal Plan 1,0,Room_Type 1,268,2018,4,8,Offline,0,0,0,78.0,0,Not_Canceled
34153,INN34154,2,0,0,1,Meal Plan 1,0,Room_Type 1,116,2018,6,15,Online,0,0,0,126.9,1,Not_Canceled
17447,INN17448,3,0,2,1,Meal Plan 1,0,Room_Type 4,56,2018,8,28,Online,0,0,0,142.2,0,Canceled
35090,INN35091,2,0,2,1,Meal Plan 1,0,Room_Type 1,90,2017,9,13,Online,0,0,0,89.25,0,Canceled
25564,INN25565,2,0,0,1,Meal Plan 1,0,Room_Type 1,31,2018,2,5,Online,0,0,0,80.3,1,Not_Canceled
6484,INN06485,2,0,0,5,Meal Plan 1,0,Room_Type 4,108,2018,8,2,Online,0,0,0,120.6,0,Canceled
17028,INN17029,2,0,0,1,Meal Plan 1,0,Room_Type 1,24,2018,7,2,Online,0,0,0,118.15,1,Not_Canceled
32381,INN32382,2,0,0,4,Meal Plan 1,0,Room_Type 1,19,2017,10,13,Online,0,0,0,126.0,1,Not_Canceled
18834,INN18835,3,0,0,1,Meal Plan 1,0,Room_Type 1,168,2018,8,13,Online,0,0,0,146.7,1,Canceled
5388,INN05389,2,0,1,2,Meal Plan 1,0,Room_Type 4,35,2018,1,29,Online,0,0,0,82.45,1,Not_Canceled
32411,INN32412,3,0,0,2,Meal Plan 1,0,Room_Type 1,239,2018,10,28,Online,0,0,0,128.7,0,Canceled
26938,INN26939,2,0,1,0,Meal Plan 1,0,Room_Type 1,50,2018,4,3,Online,0,0,0,96.3,0,Canceled
22581,INN22582,2,0,2,2,Not Selected,0,Room_Type 1,115,2018,9,17,Online,0,0,0,106.92,0,Canceled
5780,INN05781,2,0,2,3,Meal Plan 2,0,Room_Type 4,53,2018,12,31,Online,0,0,0,194.4,3,Not_Canceled
18521,INN18522,2,0,0,1,Not Selected,0,Room_Type 1,6,2018,9,22,Online,0,0,0,159.0,3,Not_Canceled
27442,INN27443,2,0,2,1,Meal Plan 1,0,Room_Type 1,24,2018,9,18,Offline,0,0,0,95.0,0,Not_Canceled
16010,INN16011,2,0,2,1,Meal Plan 1,0,Room_Type 1,83,2018,11,20,Online,0,0,0,93.6,0,Canceled
34067,INN34068,1,0,1,0,Meal Plan 1,0,Room_Type 1,110,2018,10,9,Offline,0,0,0,120.0,0,Not_Canceled
1441,INN01442,2,0,0,2,Not Selected,0,Room_Type 1,53,2017,12,29,Online,0,0,0,81.0,1,Not_Canceled
3434,INN03435,2,0,0,3,Meal Plan 1,0,Room_Type 4,68,2018,10,18,Online,0,0,0,132.3,2,Not_Canceled
14212,INN14213,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
8132,INN08133,2,0,1,2,Meal Plan 1,0,Room_Type 1,338,2018,10,7,Offline,0,0,0,90.67,1,Not_Canceled
35974,INN35975,1,0,1,1,Meal Plan 1,0,Room_Type 1,14,2018,11,7,Online,0,0,0,189.5,1,Not_Canceled
18427,INN18428,2,0,0,2,Meal Plan 1,0,Room_Type 1,315,2018,12,2,Offline,0,0,0,52.0,0,Not_Canceled
34716,INN34717,2,1,0,1,Meal Plan 1,0,Room_Type 1,13,2017,8,7,Online,0,0,0,75.0,1,Not_Canceled
19756,INN19757,2,0,0,3,Not Selected,0,Room_Type 1,17,2018,12,8,Online,0,0,0,92.67,0,Not_Canceled
6400,INN06401,1,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,1,27,Corporate,0,0,0,80.0,0,Not_Canceled
27704,INN27705,2,0,2,2,Meal Plan 1,0,Room_Type 4,14,2018,12,3,Online,0,0,0,98.39,0,Not_Canceled
9384,INN09385,2,0,2,2,Meal Plan 1,0,Room_Type 1,121,2017,12,27,Online,0,0,0,72.25,1,Not_Canceled
34958,INN34959,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2017,10,16,Offline,0,0,0,48.0,0,Not_Canceled
9618,INN09619,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,9,3,Online,0,0,0,117.67,2,Not_Canceled
14224,INN14225,2,0,2,0,Not Selected,0,Room_Type 1,54,2018,7,10,Online,0,0,0,103.5,0,Canceled
6596,INN06597,2,2,1,1,Meal Plan 1,0,Room_Type 6,58,2018,6,27,Online,0,0,0,180.9,2,Not_Canceled
2360,INN02361,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Online,0,0,0,89.0,0,Canceled
20070,INN20071,2,0,1,1,Not Selected,0,Room_Type 1,29,2018,9,17,Offline,0,0,0,85.0,0,Canceled
29490,INN29491,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,8,17,Online,0,0,0,137.0,2,Not_Canceled
31593,INN31594,2,0,1,1,Meal Plan 1,0,Room_Type 1,2,2017,10,10,Online,0,0,0,145.0,0,Not_Canceled
30815,INN30816,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120.0,0,Canceled
11903,INN11904,2,0,1,1,Meal Plan 1,0,Room_Type 4,33,2018,4,2,Online,0,0,0,131.4,0,Not_Canceled
29839,INN29840,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,5,17,Online,0,0,0,95.94,0,Not_Canceled
3928,INN03929,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
31102,INN31103,2,0,0,4,Not Selected,0,Room_Type 1,50,2018,11,15,Online,0,0,0,74.8,1,Not_Canceled
29113,INN29114,2,0,2,3,Meal Plan 1,0,Room_Type 5,41,2018,7,31,Offline,0,0,0,158.95,1,Not_Canceled
3375,INN03376,2,0,2,1,Meal Plan 1,0,Room_Type 4,10,2018,9,11,Online,0,0,0,164.0,2,Not_Canceled
3077,INN03078,2,1,1,3,Meal Plan 2,0,Room_Type 1,179,2018,7,25,Offline,0,0,0,85.6,1,Not_Canceled
28617,INN28618,2,0,1,2,Meal Plan 2,0,Room_Type 1,3,2018,1,29,Online,0,0,0,130.0,1,Not_Canceled
10436,INN10437,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2018,12,2,Online,0,0,0,93.6,2,Not_Canceled
4269,INN04270,2,0,2,5,Meal Plan 1,0,Room_Type 1,299,2018,9,17,Online,0,0,0,100.3,0,Canceled
9525,INN09526,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75.0,0,Canceled
1146,INN01147,2,0,1,2,Meal Plan 1,0,Room_Type 1,41,2018,11,11,Online,0,0,0,121.33,1,Canceled
20535,INN20536,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,2017,12,24,Online,0,0,0,66.99,1,Not_Canceled
13729,INN13730,3,0,2,0,Meal Plan 1,0,Room_Type 4,10,2018,2,7,Online,0,0,0,130.0,2,Not_Canceled
16536,INN16537,1,0,0,2,Meal Plan 1,0,Room_Type 4,5,2018,4,21,Online,0,0,0,131.0,0,Canceled
33772,INN33773,2,0,1,3,Not Selected,1,Room_Type 1,84,2018,3,24,Online,0,0,0,89.75,0,Not_Canceled
16201,INN16202,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,Offline,0,0,0,52.0,0,Canceled
34523,INN34524,2,0,2,1,Meal Plan 1,0,Room_Type 4,41,2018,10,15,Online,0,0,0,145.2,2,Not_Canceled
20082,INN20083,2,2,1,5,Meal Plan 1,0,Room_Type 6,14,2017,9,7,Online,0,0,0,166.0,3,Not_Canceled
18843,INN18844,2,0,0,2,Meal Plan 1,0,Room_Type 1,101,2018,11,18,Online,0,0,0,90.0,2,Canceled
4170,INN04171,2,0,2,5,Not Selected,0,Room_Type 1,6,2017,9,20,Online,0,0,0,138.57,2,Not_Canceled
16721,INN16722,2,0,0,2,Meal Plan 1,0,Room_Type 1,13,2017,8,18,Online,0,0,0,90.0,2,Not_Canceled
29407,INN29408,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,6,3,Online,0,0,0,149.0,1,Not_Canceled
35647,INN35648,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
19266,INN19267,2,0,2,3,Meal Plan 1,0,Room_Type 4,24,2018,9,25,Online,0,0,0,94.86,1,Not_Canceled
1162,INN01163,3,0,2,7,Meal Plan 1,0,Room_Type 4,178,2018,7,27,Online,0,0,0,127.22,1,Canceled
27977,INN27978,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,85.67,0,Not_Canceled
2571,INN02572,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,8,27,Online,0,0,0,131.4,2,Not_Canceled
4032,INN04033,3,0,0,3,Meal Plan 1,0,Room_Type 1,40,2017,10,7,Online,0,0,0,99.71,2,Not_Canceled
10527,INN10528,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,Not_Canceled
4199,INN04200,3,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,9,5,Online,0,0,0,118.8,0,Not_Canceled
16613,INN16614,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,2018,9,14,Offline,0,0,0,130.0,0,Canceled
19315,INN19316,2,0,2,2,Meal Plan 2,0,Room_Type 4,110,2018,7,3,Offline,0,0,0,118.06,0,Not_Canceled
21750,INN21751,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,30,Online,0,0,0,149.0,0,Not_Canceled
31641,INN31642,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130.0,0,Canceled
13581,INN13582,2,0,2,1,Meal Plan 1,0,Room_Type 4,178,2018,7,23,Online,0,0,0,109.8,1,Canceled
17135,INN17136,2,2,1,1,Meal Plan 1,0,Room_Type 6,10,2018,2,27,Online,0,0,0,173.0,2,Not_Canceled
30487,INN30488,2,0,1,2,Meal Plan 1,0,Room_Type 1,41,2017,10,19,Online,0,0,0,103.5,2,Not_Canceled
6888,INN06889,1,0,0,3,Meal Plan 1,0,Room_Type 1,221,2018,9,29,Online,0,0,0,115.5,2,Canceled
15215,INN15216,2,0,0,3,Meal Plan 1,0,Room_Type 1,74,2018,5,3,Offline,0,0,0,80.75,1,Not_Canceled
35919,INN35920,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
25302,INN25303,2,0,0,3,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Offline,0,0,0,120.0,0,Canceled
23530,INN23531,2,0,0,3,Meal Plan 1,0,Room_Type 1,3,2018,1,14,Offline,0,0,0,52.0,0,Not_Canceled
32638,INN32639,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
18605,INN18606,2,0,2,2,Meal Plan 1,0,Room_Type 1,67,2018,11,25,Offline,0,0,0,75.0,0,Not_Canceled
14757,INN14758,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,Canceled
22404,INN22405,2,0,1,3,Meal Plan 1,0,Room_Type 4,11,2018,11,7,Online,0,0,0,126.69,1,Not_Canceled
10183,INN10184,2,0,2,1,Meal Plan 1,0,Room_Type 4,18,2018,8,14,Offline,0,0,0,132.8,0,Not_Canceled
9646,INN09647,1,0,0,2,Not Selected,0,Room_Type 1,180,2018,10,28,Online,0,0,0,80.1,0,Canceled
11029,INN11030,2,0,0,1,Meal Plan 1,0,Room_Type 1,176,2018,9,15,Online,0,0,0,97.71,0,Canceled
9655,INN09656,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2017,8,11,Complementary,0,0,0,0.0,2,Not_Canceled
